iter	Logloss
0	0.6797394856
1	0.6676046404
2	0.6556713412
3	0.6439832215
4	0.6340472336
5	0.6243046335
6	0.6154094339
7	0.6061367394
8	0.5979617334
9	0.5905738995
10	0.5831477558
11	0.5755552666
12	0.5686333434
13	0.5625702554
14	0.5561280695
15	0.5504013573
16	0.5443750339
17	0.5389409616
18	0.5339586036
19	0.5293727952
20	0.5249315996
21	0.5215905383
22	0.5175337
23	0.513241329
24	0.5094060455
25	0.5055191183
26	0.5023625433
27	0.499990418
28	0.4970213303
29	0.4940375399
30	0.4913745649
31	0.4886021172
32	0.4864131815
33	0.4844335685
34	0.4824347799
35	0.4805909803
36	0.4789919103
37	0.4764860645
38	0.4743689735
39	0.4723796601
40	0.4709333394
41	0.4688760278
42	0.4670235967
43	0.4653045857
44	0.4637960229
45	0.4624596666
46	0.4610532904
47	0.459917452
48	0.4588969443
49	0.4575730007
50	0.4562985923
51	0.4550937332
52	0.4540865081
53	0.4532097633
54	0.4524904048
55	0.4517209991
56	0.4507658457
57	0.450102014
58	0.4490646292
59	0.4481628195
60	0.4471955074
61	0.4463166686
62	0.4454372433
63	0.4446264734
64	0.4438607886
65	0.4431282907
66	0.4423276258
67	0.4414668844
68	0.4407405221
69	0.440086253
70	0.4393534442
71	0.4387311833
72	0.4382134365
73	0.437637208
74	0.437252846
75	0.4366866002
76	0.4361746606
77	0.4356825655
78	0.4353665217
79	0.4349424244
80	0.4346637354
81	0.4343119618
82	0.4338988423
83	0.4333737146
84	0.4330210082
85	0.4325364033
86	0.4323033676
87	0.431701556
88	0.4313154098
89	0.4309132443
90	0.4305760458
91	0.4302709267
92	0.4300100207
93	0.4297125622
94	0.4293464335
95	0.4288486184
96	0.4284648043
97	0.4280392683
98	0.4277562728
99	0.427320383
100	0.4269701808
101	0.4264472906
102	0.426043856
103	0.4257650056
104	0.4255569406
105	0.425307512
106	0.4251767002
107	0.4248653736
108	0.4245501537
109	0.4244021113
110	0.4241405393
111	0.423940439
112	0.4236928925
113	0.423490241
114	0.4231614625
115	0.4228583387
116	0.4226087643
117	0.42238727
118	0.4222564507
119	0.4220340018
120	0.4217504894
121	0.4215218092
122	0.4212601838
123	0.4209217392
124	0.4207098539
125	0.4205133072
126	0.420301281
127	0.4200826218
128	0.4199558692
129	0.4197304674
130	0.4194907268
131	0.4191943742
132	0.4188774548
133	0.4187035017
134	0.4185685557
135	0.4182999281
136	0.4181296043
137	0.4178985813
138	0.4177357781
139	0.4175405486
140	0.4173311975
141	0.4172014064
142	0.4170235313
143	0.4168614184
144	0.4166585821
145	0.4165465569
146	0.4163669142
147	0.4159752316
148	0.4156762473
149	0.4155943284
150	0.41540462
151	0.4151653225
152	0.4150186469
153	0.414689323
154	0.4145237622
155	0.4142450153
156	0.4141053574
157	0.4140219356
158	0.4138966247
159	0.4137004305
160	0.4134956014
161	0.4133156304
162	0.4130985301
163	0.4129684853
164	0.4128128694
165	0.4126945562
166	0.4124980732
167	0.4123856944
168	0.4122787601
169	0.4121547389
170	0.4120160928
171	0.4118803953
172	0.4116398091
173	0.4115141001
174	0.4112952288
175	0.411154123
176	0.4109188289
177	0.4107639872
178	0.4106233296
179	0.4104792666
180	0.4103287478
181	0.410096694
182	0.4099511211
183	0.4098416634
184	0.4096986413
185	0.4095282258
186	0.409284243
187	0.4091632186
188	0.409007653
189	0.4088863686
190	0.4087935952
191	0.4087025296
192	0.4086300539
193	0.4084712261
194	0.4084288822
195	0.40836795
196	0.4081198551
197	0.4080011946
198	0.40793626
199	0.407738434
200	0.4075235885
201	0.40735287
202	0.4071925867
203	0.4070045009
204	0.406796786
205	0.406688492
206	0.4065402639
207	0.4063867807
208	0.4062922641
209	0.4061584201
210	0.4060704524
211	0.4059373249
212	0.4058036501
213	0.4056617419
214	0.4055603978
215	0.4053935524
216	0.4053096904
217	0.405202892
218	0.4050729183
219	0.4049763947
220	0.4048157106
221	0.4046329862
222	0.4045370956
223	0.40434879
224	0.4042753226
225	0.4042131797
226	0.4040222892
227	0.4038724438
228	0.4037134139
229	0.4036347934
230	0.4035321458
231	0.4034245431
232	0.4033361776
233	0.403230851
234	0.4031425377
235	0.4030328308
236	0.4029244009
237	0.4027650271
238	0.4026631622
239	0.4026016668
240	0.4024419514
241	0.402353969
242	0.402232851
243	0.4021429234
244	0.4019882425
245	0.401813328
246	0.401669175
247	0.4015607509
248	0.4013620539
249	0.4012328551
250	0.4011569781
251	0.4010634422
252	0.4009772058
253	0.400901337
254	0.4007766308
255	0.4006578232
256	0.4005549713
257	0.4003747644
258	0.4002997748
259	0.4001257725
260	0.3999430274
261	0.3998349723
262	0.3997188297
263	0.3996161799
264	0.3994860988
265	0.3994079156
266	0.3992720519
267	0.3991674406
268	0.3989949547
269	0.3988441851
270	0.3987693533
271	0.3986495821
272	0.3985402769
273	0.3984783855
274	0.3983215418
275	0.3982061634
276	0.3980680458
277	0.3979964665
278	0.3979103952
279	0.3977608352
280	0.3976407371
281	0.3975531502
282	0.3974501758
283	0.3973472017
284	0.3972631539
285	0.3971372172
286	0.3969823499
287	0.3968518831
288	0.3967097993
289	0.3965017955
290	0.3963822104
291	0.3963043853
292	0.3962011395
293	0.3960945191
294	0.3959335627
295	0.3957370859
296	0.3955227862
297	0.3954589828
298	0.395358093
299	0.3952922858
300	0.3951250014
301	0.3950042765
302	0.3949416618
303	0.3947740403
304	0.3946874133
305	0.3944857486
306	0.3943212771
307	0.3942143777
308	0.3940918349
309	0.3939639549
310	0.393895713
311	0.3937766955
312	0.393685112
313	0.3935729357
314	0.3935276316
315	0.3933513306
316	0.3933136629
317	0.3932578593
318	0.3931485512
319	0.3930739987
320	0.3929382117
321	0.3927235383
322	0.3925644242
323	0.3924684571
324	0.3923233989
325	0.39226521
326	0.392169619
327	0.3920209872
328	0.3918949929
329	0.3917596343
330	0.3916867111
331	0.391548598
332	0.3914858306
333	0.391422524
334	0.3913277886
335	0.3912034446
336	0.3911446737
337	0.391071015
338	0.3909383506
339	0.3908424387
340	0.3906916234
341	0.390575444
342	0.3904295167
343	0.3902572066
344	0.3901973846
345	0.3900126614
346	0.3899429229
347	0.3899000969
348	0.3896831031
349	0.3894993306
350	0.3893147659
351	0.3892163505
352	0.3890743473
353	0.3888980818
354	0.3887528176
355	0.3886042432
356	0.3885210325
357	0.3884245793
358	0.3883473246
359	0.3882491615
360	0.388151034
361	0.3880242521
362	0.3879015848
363	0.3877312876
364	0.3876521698
365	0.3875886164
366	0.3874356087
367	0.3872933753
368	0.3872144927
369	0.3870896613
370	0.3869861856
371	0.3868403425
372	0.3866160946
373	0.3865456895
374	0.3864549121
375	0.386403093
376	0.3863234066
377	0.3862462605
378	0.3860675092
379	0.3860046514
380	0.3858395988
381	0.3857926142
382	0.3856643135
383	0.3855747989
384	0.3854375495
385	0.3852428868
386	0.3850778083
387	0.3849777201
388	0.3848557612
389	0.3847616104
390	0.3846813003
391	0.3845910197
392	0.3845001583
393	0.3843185706
394	0.3841776887
395	0.3840935657
396	0.3840787657
397	0.3839050664
398	0.3838378749
399	0.3836180548
400	0.3835240945
401	0.3834414976
402	0.3833623213
403	0.3833087514
404	0.3831995801
405	0.3831143661
406	0.3829546108
407	0.3827721218
408	0.3826534088
409	0.3825033307
410	0.3823764537
411	0.3822947663
412	0.3821814049
413	0.3820986408
414	0.382078175
415	0.3819720746
416	0.3818885774
417	0.3817455462
418	0.3816401695
419	0.3815737897
420	0.3814661797
421	0.3814074078
422	0.3813630437
423	0.3812731463
424	0.3811982386
425	0.3810371611
426	0.3809658798
427	0.380868348
428	0.3808013664
429	0.3807011092
430	0.3805477326
431	0.3804589862
432	0.3803592763
433	0.3803012087
434	0.3802447592
435	0.3801873864
436	0.3800200272
437	0.3799075186
438	0.3798648552
439	0.3797957373
440	0.3795761769
441	0.3795224876
442	0.3793737792
443	0.379331317
444	0.3792214584
445	0.3790971651
446	0.3789582089
447	0.3788840368
448	0.3787869596
449	0.378682631
450	0.3786647482
451	0.378568845
452	0.3784731926
453	0.378432125
454	0.3783115771
455	0.3781985624
456	0.378085753
457	0.3779947049
458	0.3779599755
459	0.3778680822
460	0.3776977692
461	0.3775557981
462	0.3774919567
463	0.3773621941
464	0.3773132274
465	0.3771831492
466	0.3770895211
