iter	Passed	Remaining
0	1	1733
1	3	1640
2	4	1617
3	6	1549
4	7	1507
5	9	1510
6	10	1542
7	12	1531
8	13	1536
9	15	1546
10	17	1556
11	18	1560
12	20	1564
13	22	1569
14	24	1594
15	26	1605
16	27	1603
17	29	1601
18	31	1605
19	32	1607
20	34	1609
21	36	1626
22	38	1622
23	39	1619
24	41	1614
25	43	1615
26	44	1614
27	46	1617
28	48	1617
29	50	1619
30	51	1622
31	53	1622
32	55	1619
33	56	1612
34	58	1612
35	60	1610
36	62	1615
37	63	1612
38	65	1610
39	67	1608
40	68	1605
41	70	1601
42	71	1601
43	73	1598
44	75	1597
45	76	1595
46	78	1591
47	80	1591
48	82	1592
49	83	1590
50	85	1590
51	87	1589
52	88	1585
53	90	1584
54	92	1584
55	94	1586
56	95	1585
57	97	1584
58	99	1581
59	101	1592
60	103	1590
61	105	1590
62	106	1586
63	108	1585
64	110	1585
65	111	1583
66	113	1580
67	115	1579
68	117	1578
69	119	1587
70	121	1584
71	122	1581
72	124	1580
73	126	1577
74	127	1574
75	129	1572
76	131	1570
77	132	1570
78	134	1568
79	136	1569
80	138	1567
81	139	1564
82	141	1564
83	143	1562
84	145	1562
85	146	1561
86	148	1561
87	151	1566
88	152	1564
89	154	1565
90	156	1561
91	158	1559
92	160	1568
93	162	1568
94	165	1575
95	167	1581
96	169	1580
97	171	1580
98	177	1615
99	179	1616
100	181	1613
101	182	1609
102	184	1606
103	186	1604
104	188	1603
105	189	1600
106	191	1597
107	193	1596
108	195	1595
109	196	1593
110	198	1593
111	200	1591
112	202	1589
113	204	1588
114	206	1585
115	207	1583
116	209	1580
117	211	1577
118	213	1577
119	214	1575
120	216	1574
121	218	1571
122	219	1568
123	221	1566
124	223	1563
125	224	1560
126	227	1563
127	229	1562
128	230	1559
129	232	1557
130	234	1555
131	236	1554
132	238	1552
133	239	1550
134	241	1548
135	243	1547
136	245	1544
137	246	1541
138	248	1539
139	250	1537
140	251	1535
141	253	1533
142	255	1530
143	257	1528
144	258	1526
145	260	1524
146	262	1522
147	264	1520
148	265	1518
149	267	1516
150	269	1514
151	270	1511
152	272	1509
153	274	1507
154	275	1504
155	277	1501
156	279	1500
157	281	1498
158	282	1496
159	284	1493
160	286	1491
161	287	1489
162	289	1486
163	291	1485
164	293	1483
165	294	1480
166	296	1478
167	298	1475
168	299	1474
169	302	1477
170	304	1475
171	307	1478
172	309	1477
173	310	1475
174	312	1472
175	314	1473
176	316	1471
177	318	1470
178	320	1467
179	321	1466
180	323	1464
181	325	1462
182	326	1459
183	328	1457
184	330	1455
185	332	1453
186	333	1451
187	335	1449
188	337	1446
189	338	1444
190	340	1442
191	342	1441
192	344	1438
193	345	1437
194	347	1434
195	349	1432
196	350	1430
197	352	1428
198	354	1426
199	356	1425
200	358	1423
201	359	1421
202	361	1419
203	363	1418
204	365	1416
205	367	1414
206	368	1412
207	370	1411
208	372	1410
209	374	1407
210	375	1405
211	377	1404
212	379	1403
213	381	1401
214	383	1400
215	385	1398
216	387	1398
217	389	1397
218	393	1401
219	394	1400
220	396	1397
221	398	1395
222	403	1406
223	405	1405
224	407	1403
225	409	1401
226	411	1399
227	412	1397
228	414	1395
229	416	1394
230	418	1392
231	420	1391
232	422	1389
233	423	1387
234	425	1385
235	427	1384
236	429	1382
237	431	1381
238	433	1379
239	435	1377
240	436	1375
241	438	1372
242	440	1371
243	441	1369
244	443	1366
245	445	1364
246	446	1362
247	448	1360
248	450	1358
249	452	1356
250	453	1354
251	455	1352
252	457	1350
253	459	1348
254	460	1346
255	462	1344
256	464	1342
257	466	1340
258	467	1337
259	469	1335
260	471	1333
261	472	1332
262	474	1329
263	476	1327
264	478	1325
265	479	1324
266	481	1321
267	483	1320
268	485	1318
269	486	1316
270	488	1314
271	491	1314
272	492	1312
273	494	1310
274	496	1308
275	498	1306
276	499	1304
277	501	1302
278	503	1300
279	505	1298
280	507	1297
281	508	1295
282	510	1292
283	512	1291
284	514	1291
285	517	1290
286	518	1288
287	522	1290
288	524	1290
289	526	1288
290	527	1286
291	529	1284
292	531	1282
293	532	1279
294	537	1285
295	540	1284
296	541	1282
297	543	1280
298	545	1279
299	547	1277
300	549	1275
301	551	1273
302	553	1273
303	555	1271
304	557	1270
305	559	1268
306	561	1267
307	563	1265
308	564	1262
309	566	1260
310	568	1258
311	569	1256
312	571	1255
313	573	1253
314	575	1251
315	577	1249
316	578	1247
317	580	1245
318	582	1243
319	584	1241
320	586	1239
321	587	1237
322	589	1235
323	591	1234
324	593	1232
325	595	1231
326	597	1230
327	599	1228
328	601	1226
329	602	1224
330	604	1222
331	606	1220
332	608	1218
333	610	1216
334	612	1215
335	613	1213
336	615	1211
337	618	1210
338	619	1208
339	621	1206
340	623	1204
341	624	1202
342	626	1200
343	628	1198
344	630	1196
345	631	1193
346	633	1191
347	635	1189
348	636	1187
349	638	1185
350	640	1184
351	642	1182
352	643	1180
353	645	1178
354	647	1176
355	649	1174
356	651	1172
357	652	1170
358	654	1168
359	656	1166
360	657	1164
361	659	1162
362	661	1160
363	663	1158
364	664	1156
365	666	1154
366	668	1152
367	669	1150
368	671	1147
369	672	1145
370	674	1143
371	676	1141
372	678	1140
